"5. Ehdokkaiden saamat äänimäärät suuruusjärjestyksessä sekä vertausluku"

"Ehdokas";"Äänimäärä";"Vertausluku";"Valintatieto"
"Ellenberg Benjamin / RKP / Helsingin vaalipiiri";326;1449.706;3
"Ekman Johan / RKP / Helsingin vaalipiiri";281;1369.167;3
"Hertzberg Veronica / RKP / Helsingin vaalipiiri";231;1297.105;3
"Keskinen Lotta / RKP / Helsingin vaalipiiri";176;1232.250;3
"Grandén Ira / RKP / Helsingin vaalipiiri";166;1173.571;3
"Tcheng Emma / RKP / Helsingin vaalipiiri";158;1120.227;3
"Haavisto Pekka / VIHR / Helsingin vaalipiiri";14204;67806.000;1
"Alanko-Kahiluoto Outi / VIHR / Helsingin vaalipiiri";7884;33903.000;1
"Vartia Antero / VIHR / Helsingin vaalipiiri";6859;22602.000;1
"Kari Emma / VIHR / Helsingin vaalipiiri";4647;16951.500;1
"Yanar Ozan / VIHR / Helsingin vaalipiiri";4196;13561.200;1
"Sumuvuori Johanna / VIHR / Helsingin vaalipiiri";4159;11301.000;2
"Ohisalo Maria / VIHR / Helsingin vaalipiiri";4087;9686.571;3
"Holopainen Mari / VIHR / Helsingin vaalipiiri";3594;8475.750;3
"Kivekäs Otso / VIHR / Helsingin vaalipiiri";3473;7534.000;3
"Oskala Hannu / VIHR / Helsingin vaalipiiri";2175;6780.600;3
"Hernberg Kaisa / VIHR / Helsingin vaalipiiri";2053;6164.182;3
"Stranius Leo / VIHR / Helsingin vaalipiiri";1924;5650.500;3
"Relander Jukka / VIHR / Helsingin vaalipiiri";1856;5215.846;3
"Alametsä Alviina / VIHR / Helsingin vaalipiiri";1273;4843.286;3
"Juva Katriina (Kati) / VIHR / Helsingin vaalipiiri";1128;4520.400;3
"Rantanen Tuomas / VIHR / Helsingin vaalipiiri";1072;4237.875;3
"Vuorelma Maria / VIHR / Helsingin vaalipiiri";813;3988.588;3
"Perälä Erkki / VIHR / Helsingin vaalipiiri";709;3767.000;3
"Tamminen Lilja / VIHR / Helsingin vaalipiiri";639;3568.737;3
"Tuomola Pekka / VIHR / Helsingin vaalipiiri";477;3390.300;3
"Moring Kirsikka / VIHR / Helsingin vaalipiiri";348;3228.857;3
"Riittinen Leena / VIHR / Helsingin vaalipiiri";236;3082.091;3
"Hakanen Yrjö / SKP / Helsingin vaalipiiri";610;1485.000;3
"Väisänen Juha-Pekka / SKP / Helsingin vaalipiiri";124;742.500;3
"Alhojärvi Lauri / SKP / Helsingin vaalipiiri";78;495.000;3
"Laitinen Jukka / SKP / Helsingin vaalipiiri";77;371.250;3
"Ketoharju Heikki / SKP / Helsingin vaalipiiri";70;297.000;3
"Auer Irene / SKP / Helsingin vaalipiiri";68;247.500;3
"Honkanen Pia / SKP / Helsingin vaalipiiri";55;212.143;3
"Wallenius Anni / SKP / Helsingin vaalipiiri";49;185.625;3
"Mononen Outi / SKP / Helsingin vaalipiiri";43;165.000;3
"Lappi Petteri / SKP / Helsingin vaalipiiri";41;148.500;3
"Tuomi Emmi / SKP / Helsingin vaalipiiri";29;135.000;3
"Salava Hannele / SKP / Helsingin vaalipiiri";28;123.750;3
"Lindström Kari / SKP / Helsingin vaalipiiri";26;114.231;3
"Järvenpää Elina / SKP / Helsingin vaalipiiri";23;106.071;3
"Räsänen Senja / SKP / Helsingin vaalipiiri";23;99.000;3
"Hämäläinen Juha / SKP / Helsingin vaalipiiri";22;92.813;3
"R Farag Ezzeddin / SKP / Helsingin vaalipiiri";22;87.353;3
"Korvela Marko / SKP / Helsingin vaalipiiri";21;82.500;3
"Ruottinen Wäinämö / SKP / Helsingin vaalipiiri";20;78.158;3
"Hannikainen Ari / SKP / Helsingin vaalipiiri";19;74.250;3
"Korhonen Mikko / SKP / Helsingin vaalipiiri";19;70.714;3
"Al Amir Ayman / SKP / Helsingin vaalipiiri";18;67.500;3
"Tiainen Pekka / STP / Helsingin vaalipiiri";74;244.000;3
"Männikkö Heikki / STP / Helsingin vaalipiiri";24;122.000;3
"Koivistoinen Timo / STP / Helsingin vaalipiiri";19;81.333;3
"Salomaa Esa / STP / Helsingin vaalipiiri";16;61.000;3
"Abouraya Elsayed / STP / Helsingin vaalipiiri";14;48.800;3
"Kortie Lana / STP / Helsingin vaalipiiri";14;40.667;3
"Haavisto Juho / STP / Helsingin vaalipiiri";13;34.857;3
"Orava Matti / STP / Helsingin vaalipiiri";13;30.500;3
"Männikkö Tarja / STP / Helsingin vaalipiiri";12;27.111;3
"Vainionpää Riitta / STP / Helsingin vaalipiiri";10;24.400;3
"Heikkinen Paavo / STP / Helsingin vaalipiiri";6;22.182;3
"Lehtola Larmo / STP / Helsingin vaalipiiri";6;20.333;3
"Rahikainen Janne / STP / Helsingin vaalipiiri";6;18.769;3
"Saksa Jani / STP / Helsingin vaalipiiri";6;17.429;3
"Seppänen Pentti / STP / Helsingin vaalipiiri";6;16.267;3
"Rahikainen Ville / STP / Helsingin vaalipiiri";5;15.250;3
"Vaahtera Jukka / KTP / Helsingin vaalipiiri";28;76.000;3
"Tiittanen Lassi / KTP / Helsingin vaalipiiri";18;38.000;3
"Jakimtchouk Valentina / KTP / Helsingin vaalipiiri";16;25.333;3
"Mauria-Haidara Reija / KTP / Helsingin vaalipiiri";14;19.000;3
"Komsi Tuula / Muutos2011 / Helsingin vaalipiiri";255;480.000;3
"Linnanheimo Juhani / Muutos2011 / Helsingin vaalipiiri";140;240.000;3
"Penttilä Markku / Muutos2011 / Helsingin vaalipiiri";85;160.000;3
"Söyring Riikka / IP / Helsingin vaalipiiri";276;1242.000;3
"Helin Kirsi / IP / Helsingin vaalipiiri";161;621.000;3
"Lehtineva Anssi / IP / Helsingin vaalipiiri";96;414.000;3
"Koskinen Ville / IP / Helsingin vaalipiiri";84;310.500;3
"Kiukkonen Marianne / IP / Helsingin vaalipiiri";82;248.400;3
"Sotikoff Timo / IP / Helsingin vaalipiiri";80;207.000;3
"Virkkala Susan / IP / Helsingin vaalipiiri";77;177.429;3
"Luoma Ilkka / IP / Helsingin vaalipiiri";70;155.250;3
"Luotonen Jorma / IP / Helsingin vaalipiiri";56;138.000;3
"Kauppinen Petri / IP / Helsingin vaalipiiri";44;124.200;3
"Salminen Anni / IP / Helsingin vaalipiiri";36;112.909;3
"Holmsten Kirsi (Kikka) / IP / Helsingin vaalipiiri";32;103.500;3
"Vainio Karla / IP / Helsingin vaalipiiri";32;95.538;3
"Ramsay Anders / IP / Helsingin vaalipiiri";30;88.714;3
"Hämäläinen Jari / IP / Helsingin vaalipiiri";29;82.800;3
"Selehov Otto / IP / Helsingin vaalipiiri";18;77.625;3
