"5. Ehdokkaiden saamat äänimäärät suuruusjärjestyksessä sekä vertausluku"

"Ehdokas";"Äänimäärä";"Vertausluku";"Valintatieto"
"Tynkkynen Kari / KD / Varsinais-Suomen vaalipiiri";134;394.938;3
"Roth Lilja / KD / Varsinais-Suomen vaalipiiri";84;371.706;3
"Orpo Petteri / KOK / Varsinais-Suomen vaalipiiri";10652;68466.000;1
"Kanerva Ilkka / KOK / Varsinais-Suomen vaalipiiri";9183;22822.000;1
"Virolainen Anne-Mari / KOK / Varsinais-Suomen vaalipiiri";7169;17116.500;1
"Sirén Saara-Sofia / KOK / Varsinais-Suomen vaalipiiri";4625;13693.200;1
"Hemmilä Pertti / KOK / Varsinais-Suomen vaalipiiri";4324;11411.000;2
"Arve Minna / KOK / Varsinais-Suomen vaalipiiri";3381;9780.857;3
"Valkonen Ville / KOK / Varsinais-Suomen vaalipiiri";3036;7607.333;3
"Kattelus Lauri / KOK / Varsinais-Suomen vaalipiiri";2620;6846.600;3
"Vauranoja Sanna / KOK / Varsinais-Suomen vaalipiiri";2334;6224.182;3
"Viitanen Annika / KOK / Varsinais-Suomen vaalipiiri";2263;5705.500;3
"Haapakoski Juha / KOK / Varsinais-Suomen vaalipiiri";1607;5266.615;3
"Nummentalo Juhani / KOK / Varsinais-Suomen vaalipiiri";1605;4890.429;3
"Wallinkoski Lola / KOK / Varsinais-Suomen vaalipiiri";1050;4564.400;3
"Mäki-Punto-Ristanen Tarja / KOK / Varsinais-Suomen vaalipiiri";829;4279.125;3
"Nikula Ossi / KOK / Varsinais-Suomen vaalipiiri";677;4027.412;3
"Saarikko Annika / KESK / Varsinais-Suomen vaalipiiri";10510;42763.000;1
"Kiviranta Esko / KESK / Varsinais-Suomen vaalipiiri";5994;21381.500;1
"Ala-Nissilä Olavi / KESK / Varsinais-Suomen vaalipiiri";4908;14254.333;1
"Kurvinen Jani / KESK / Varsinais-Suomen vaalipiiri";4014;10690.750;2
"Myllymäki Pekka / KESK / Varsinais-Suomen vaalipiiri";3255;8552.600;3
"Ruottu Annina / KESK / Varsinais-Suomen vaalipiiri";2772;7127.167;3
"Huittinen Ulla / KESK / Varsinais-Suomen vaalipiiri";2430;6109.000;3
"Raisto-Elo Tanja / KESK / Varsinais-Suomen vaalipiiri";1724;5345.375;3
"Mäkinen Heikki / KESK / Varsinais-Suomen vaalipiiri";1433;4751.444;3
"Rantala Jukka / KESK / Varsinais-Suomen vaalipiiri";1086;4276.300;3
"Karjalainen Riitta / KESK / Varsinais-Suomen vaalipiiri";1042;3887.545;3
"Eeva Raija / KESK / Varsinais-Suomen vaalipiiri";985;3563.583;3
"Sirkiä Anna / KESK / Varsinais-Suomen vaalipiiri";673;3289.462;3
"Sundberg Kenneth / KESK / Varsinais-Suomen vaalipiiri";595;3054.500;3
"Kallonen Kalevi / KESK / Varsinais-Suomen vaalipiiri";543;2850.867;3
"Ikonen Mauri / KESK / Varsinais-Suomen vaalipiiri";460;2672.688;3
"Kulmala Viktoria / KESK / Varsinais-Suomen vaalipiiri";339;2515.471;3
"Andersson Li / VAS / Varsinais-Suomen vaalipiiri";15071;27001.000;1
"Lapintie Annika / VAS / Varsinais-Suomen vaalipiiri";5027;13500.500;1
"Yrttiaho Johannes / VAS / Varsinais-Suomen vaalipiiri";2930;9000.333;2
"Tyyskänen Eveliina / VAS / Varsinais-Suomen vaalipiiri";1100;6750.250;3
"Kärkkäinen Jukka / VAS / Varsinais-Suomen vaalipiiri";576;5400.200;3
"Ruokonen Marja / VAS / Varsinais-Suomen vaalipiiri";434;4500.167;3
"Kallio Pentti / VAS / Varsinais-Suomen vaalipiiri";326;3857.286;3
"Vallavuori Kaisa / VAS / Varsinais-Suomen vaalipiiri";266;3375.125;3
"Pääkkönen Tuukka / VAS / Varsinais-Suomen vaalipiiri";195;3000.111;3
"Allahmoradi Mohammadamin / VAS / Varsinais-Suomen vaalipiiri";188;2700.100;3
"Kondelin Sade / VAS / Varsinais-Suomen vaalipiiri";164;2454.636;3
"Lindfors Jaakko / VAS / Varsinais-Suomen vaalipiiri";148;2250.083;3
"Suominen Jari / VAS / Varsinais-Suomen vaalipiiri";145;2077.000;3
"Karlsson Julius / VAS / Varsinais-Suomen vaalipiiri";133;1928.643;3
"Karvonen Annika / VAS / Varsinais-Suomen vaalipiiri";125;1800.067;3
"Aronen Lauri / VAS / Varsinais-Suomen vaalipiiri";95;1687.563;3
"Luoma-aho Teemu / VAS / Varsinais-Suomen vaalipiiri";78;1588.294;3
"Wallin Stefan / RKP / Varsinais-Suomen vaalipiiri";9787;34233.000;1
"Schauman Ida / RKP / Varsinais-Suomen vaalipiiri";3324;8558.250;3
"Niinistö Ville / VIHR / Varsinais-Suomen vaalipiiri";8835;22875.000;1
"Rantanen Elina / VIHR / Varsinais-Suomen vaalipiiri";2692;11437.500;2
"Ilvessalo Saara / VIHR / Varsinais-Suomen vaalipiiri";2138;7625.000;3
"Ratilainen Niina / VIHR / Varsinais-Suomen vaalipiiri";1144;5718.750;3
"Rantanen Laura / VIHR / Varsinais-Suomen vaalipiiri";1090;4575.000;3
"Saario Mari / VIHR / Varsinais-Suomen vaalipiiri";973;3812.500;3
"Välttilä Mikko / VIHR / Varsinais-Suomen vaalipiiri";946;3267.857;3
"Hermonen Merja / VIHR / Varsinais-Suomen vaalipiiri";826;2859.375;3
"Vornanen Jukka / VIHR / Varsinais-Suomen vaalipiiri";717;2541.667;3
"Särkijärvi Helena / VIHR / Varsinais-Suomen vaalipiiri";661;2287.500;3
"Weber Konsta / VIHR / Varsinais-Suomen vaalipiiri";563;2079.545;3
"Liljenbäck Tuomo / VIHR / Varsinais-Suomen vaalipiiri";483;1906.250;3
"Hassan Roda / VIHR / Varsinais-Suomen vaalipiiri";402;1759.615;3
"Saikkonen Teemu / VIHR / Varsinais-Suomen vaalipiiri";383;1633.929;3
"Bland Anne / VIHR / Varsinais-Suomen vaalipiiri";351;1525.000;3
"Luotonen Sara / VIHR / Varsinais-Suomen vaalipiiri";345;1429.688;3
"Porjo Niko / VIHR / Varsinais-Suomen vaalipiiri";326;1345.588;3
"Niskanen Kalle / SKP / Varsinais-Suomen vaalipiiri";161;727.000;3
"Kiessling Kaija / SKP / Varsinais-Suomen vaalipiiri";122;363.500;3
"Puotsaari Tarja / SKP / Varsinais-Suomen vaalipiiri";95;242.333;3
"Haverinen Pertti / SKP / Varsinais-Suomen vaalipiiri";58;181.750;3
"Hongisto Markku / SKP / Varsinais-Suomen vaalipiiri";40;145.400;3
"Vuorio Joel / SKP / Varsinais-Suomen vaalipiiri";28;103.857;3
"Jalonen Miikael / SKP / Varsinais-Suomen vaalipiiri";25;80.778;3
"Siirtola Sanna / SKP / Varsinais-Suomen vaalipiiri";24;72.700;3
"Leppäjoki Seija / SKP / Varsinais-Suomen vaalipiiri";22;66.091;3
"Kejonen Eira / SKP / Varsinais-Suomen vaalipiiri";21;60.583;3
"Vuolo-Äärilä Kirsti / SKP / Varsinais-Suomen vaalipiiri";19;55.923;3
"Leppänen Martti / SKP / Varsinais-Suomen vaalipiiri";14;51.929;3
"Helenius Ken / SKP / Varsinais-Suomen vaalipiiri";13;48.467;3
"Sanderson Matti / SKP / Varsinais-Suomen vaalipiiri";13;45.438;3
"Holm Eva / SKP / Varsinais-Suomen vaalipiiri";9;42.765;3
"Uutela Markus / STP / Varsinais-Suomen vaalipiiri";64;184.000;3
"Luukkonen Anne / STP / Varsinais-Suomen vaalipiiri";42;92.000;3
"Kortejärvi Riku / STP / Varsinais-Suomen vaalipiiri";36;61.333;3
"Vikman Jarmo / STP / Varsinais-Suomen vaalipiiri";21;46.000;3
"Luukkonen Esko / STP / Varsinais-Suomen vaalipiiri";21;36.800;3
"Suominen Voitto / KTP / Varsinais-Suomen vaalipiiri";36;121.167;3
"Postari Juha / KTP / Varsinais-Suomen vaalipiiri";27;90.875;3
"Tulonen Antti / Muutos2011 / Varsinais-Suomen vaalipiiri";87;172.000;3
"King Monica / Muutos2011 / Varsinais-Suomen vaalipiiri";43;86.000;3
"Hinkkanen Indra / Muutos2011 / Varsinais-Suomen vaalipiiri";42;57.333;3
"Nevalainen Jarmo / IP / Varsinais-Suomen vaalipiiri";132;963.000;3
"Laikko Hilkka / IP / Varsinais-Suomen vaalipiiri";123;481.500;3
"Eskola Päivi / IP / Varsinais-Suomen vaalipiiri";120;321.000;3
"Ahlfors Jari / IP / Varsinais-Suomen vaalipiiri";112;240.750;3
"Hämäläinen Juha / IP / Varsinais-Suomen vaalipiiri";105;192.600;3
"Hentunen Pasi / IP / Varsinais-Suomen vaalipiiri";103;160.500;3
"Koivunen Kai-Tom / IP / Varsinais-Suomen vaalipiiri";74;137.571;3
"Honkasalo Teppo / IP / Varsinais-Suomen vaalipiiri";57;120.375;3
"Miettinen Jouko / IP / Varsinais-Suomen vaalipiiri";49;107.000;3
"Honkonen Juhani / IP / Varsinais-Suomen vaalipiiri";39;96.300;3
"Autero Henri / IP / Varsinais-Suomen vaalipiiri";29;87.545;3
"Turunen Teuvo / IP / Varsinais-Suomen vaalipiiri";20;80.250;3
"Vesti Jetro / Piraattip. / Varsinais-Suomen vaalipiiri";645;2008.000;3
"Hellman Timo / Piraattip. / Varsinais-Suomen vaalipiiri";339;1004.000;3
"Mäki Sebastian / Piraattip. / Varsinais-Suomen vaalipiiri";316;669.333;3
"Kustonen Johan / Piraattip. / Varsinais-Suomen vaalipiiri";192;502.000;3
"Uotila Janne / Piraattip. / Varsinais-Suomen vaalipiiri";134;401.600;3
"Kaartinen Juha / Piraattip. / Varsinais-Suomen vaalipiiri";110;334.667;3
"Kärkkäinen Lasse / Piraattip. / Varsinais-Suomen vaalipiiri";108;286.857;3
"Tonta Toivo / Piraattip. / Varsinais-Suomen vaalipiiri";101;251.000;3
"Pyrrö Milka / Piraattip. / Varsinais-Suomen vaalipiiri";63;223.111;3
"Leppäjoki Kari / Muut / Varsinais-Suomen vaalipiiri";268;268.000;3
"Salonen Kristiina / SDP / Satakunnan vaalipiiri";9560;27631.000;1
"Kiuru Krista / SDP / Satakunnan vaalipiiri";7561;13815.500;1
"Raunela Tommi / SDP / Satakunnan vaalipiiri";3099;9210.333;2
"Reunanen Ari / SDP / Satakunnan vaalipiiri";1230;6907.750;3
"Heino Mirva / SDP / Satakunnan vaalipiiri";1060;5526.200;3
"Nummikari Reijo / SDP / Satakunnan vaalipiiri";1042;4605.167;3
"Leppikorpi Kalle / SDP / Satakunnan vaalipiiri";1036;3947.286;3
"Lahti Petteri / SDP / Satakunnan vaalipiiri";588;3453.875;3
"Iltanen Marko / SDP / Satakunnan vaalipiiri";579;3070.111;3
"Ahokangas Petri / SDP / Satakunnan vaalipiiri";574;2763.100;3
"Uimaluoto Marika / SDP / Satakunnan vaalipiiri";533;2511.909;3
"Mäki Pirjo / SDP / Satakunnan vaalipiiri";308;2302.583;3
"Hermo Harri / SDP / Satakunnan vaalipiiri";266;2125.462;3
"Savala Tero / SDP / Satakunnan vaalipiiri";195;1973.643;3
"Huhtasaari Laura / PS / Satakunnan vaalipiiri";9259;30600.000;1
"Jalonen Ari / PS / Satakunnan vaalipiiri";5753;15300.000;1
"Koskela Jari / PS / Satakunnan vaalipiiri";4344;10200.000;2
"Mäenranta Pasi / PS / Satakunnan vaalipiiri";2748;7650.000;3
"Riuttamäki Simo / PS / Satakunnan vaalipiiri";1734;6120.000;3
"Huru Petri / PS / Satakunnan vaalipiiri";1411;5100.000;3
"Ostamo Marianne / PS / Satakunnan vaalipiiri";1148;4371.429;3
"Järvelä Tero / PS / Satakunnan vaalipiiri";946;3825.000;3
"Laitila Tommi / PS / Satakunnan vaalipiiri";851;3400.000;3
"Markkula Maarit / PS / Satakunnan vaalipiiri";836;3060.000;3
"Heinonen Kristiina / PS / Satakunnan vaalipiiri";538;2781.818;3
"Salonen Tomi / PS / Satakunnan vaalipiiri";530;2550.000;3
"Läntinen Ismo / PS / Satakunnan vaalipiiri";260;2353.846;3
"Lehmussalmi Riina / PS / Satakunnan vaalipiiri";242;2185.714;3
"Korpela Simo / KD / Satakunnan vaalipiiri";968;3525.000;3
"Vainila Johanna / KD / Satakunnan vaalipiiri";448;1762.500;3
"Juntunen Marketta / KD / Satakunnan vaalipiiri";348;1175.000;3
"Söderbacka Sari / KD / Satakunnan vaalipiiri";272;881.250;3
"Hiltunen Marika / KD / Satakunnan vaalipiiri";210;705.000;3
"Vähäkainu Johanna / KD / Satakunnan vaalipiiri";204;587.500;3
"Mäkinen Jukka / KD / Satakunnan vaalipiiri";190;503.571;3
"Kumpulainen Kitti / KD / Satakunnan vaalipiiri";187;440.625;3
"Torpo Risto / KD / Satakunnan vaalipiiri";171;391.667;3
"Tervakangas Mika / KD / Satakunnan vaalipiiri";122;352.500;3
"Lammi Jarkko / KD / Satakunnan vaalipiiri";120;320.455;3
"Vepsäläinen Tuula / KD / Satakunnan vaalipiiri";99;293.750;3
"Lehkamo Arto / KD / Satakunnan vaalipiiri";93;271.154;3
"Sjöholm Olli / KD / Satakunnan vaalipiiri";93;251.786;3
"Laitinen-Pesola Jaana / KOK / Satakunnan vaalipiiri";3483;18377.000;1
"Hannus Kari / KOK / Satakunnan vaalipiiri";3168;9188.500;2
"Marttinen Matias / KOK / Satakunnan vaalipiiri";2254;6125.667;3
"Kaunistola Mari / KOK / Satakunnan vaalipiiri";2100;4594.250;3
"Alho Marja-Leena / KOK / Satakunnan vaalipiiri";1313;3675.400;3
"Järvenpää Pauli / KOK / Satakunnan vaalipiiri";1070;3062.833;3
"Mykrä Suvi / KOK / Satakunnan vaalipiiri";869;2625.286;3
"Heikkilä Jonna / KOK / Satakunnan vaalipiiri";811;2297.125;3
"Ropo Mikael / KOK / Satakunnan vaalipiiri";803;2041.889;3
"Kähkönen Kari / KOK / Satakunnan vaalipiiri";675;1837.700;3
"Kontio Outi / KOK / Satakunnan vaalipiiri";654;1670.636;3
"Vepsä Kimmo / KOK / Satakunnan vaalipiiri";589;1531.417;3
"Kangas-Männistö Tupuna / KOK / Satakunnan vaalipiiri";318;1413.615;3
"Anttila Taru / KOK / Satakunnan vaalipiiri";270;1312.643;3
"Juhantalo Kauko / KESK / Satakunnan vaalipiiri";4627;25247.000;1
"Kalli Timo / KESK / Satakunnan vaalipiiri";4215;12623.500;1
"Korkeaoja Juha / KESK / Satakunnan vaalipiiri";3271;8415.667;2
"Jalonen Vesa / KESK / Satakunnan vaalipiiri";2911;6311.750;3
"Huhtanen Tapio / KESK / Satakunnan vaalipiiri";2384;5049.400;3
"Tietari Satu / KESK / Satakunnan vaalipiiri";1620;4207.833;3
"Uusihonko Hannu / KESK / Satakunnan vaalipiiri";1567;3606.714;3
"Ylikännö Martin / KESK / Satakunnan vaalipiiri";1258;3155.875;3
"Hautala Päivi-Maria / KESK / Satakunnan vaalipiiri";836;2805.222;3
"Kantola Juha / KESK / Satakunnan vaalipiiri";772;2524.700;3
"Pietilä Satu / KESK / Satakunnan vaalipiiri";629;2295.182;3
"Kankkonen Taru / KESK / Satakunnan vaalipiiri";509;2103.917;3
"Vuorela Sari / KESK / Satakunnan vaalipiiri";482;1942.077;3
"Ihamäki Pirita / KESK / Satakunnan vaalipiiri";166;1803.357;3
"Myllykoski Jari / VAS / Satakunnan vaalipiiri";4175;11730.000;1
"Furuholm Tapio / VAS / Satakunnan vaalipiiri";2259;5865.000;2
"Ranta Raisa / VAS / Satakunnan vaalipiiri";1864;3910.000;3
"Välimäki Erno / VAS / Satakunnan vaalipiiri";1188;2932.500;3
"Salminen Petri / VAS / Satakunnan vaalipiiri";566;2346.000;3
"Grundström Tuomo / VAS / Satakunnan vaalipiiri";337;1955.000;3
"Heino Oili / VAS / Satakunnan vaalipiiri";328;1675.714;3
"Manninen Riku / VAS / Satakunnan vaalipiiri";188;1466.250;3
"Norman Aleksi / VAS / Satakunnan vaalipiiri";183;1303.333;3
"Viinamäki Terttu / VAS / Satakunnan vaalipiiri";181;1173.000;3
"Kalliomäki Joni / VAS / Satakunnan vaalipiiri";139;1066.364;3
"Mäkinen Leila / VAS / Satakunnan vaalipiiri";126;977.500;3
"Karmala-Vanamo Jaana / VAS / Satakunnan vaalipiiri";116;902.308;3
"Välimäki Aarre / VAS / Satakunnan vaalipiiri";80;837.857;3
"Kukkasmäki Juho / RKP / Satakunnan vaalipiiri";102;426.000;3
"Tigerstedt Claes / RKP / Satakunnan vaalipiiri";102;213.000;3
"Numelin Kristiina / RKP / Satakunnan vaalipiiri";98;142.000;3
"Numelin Lars-Eric / RKP / Satakunnan vaalipiiri";82;106.500;3
"Koskinen Olavi / RKP / Satakunnan vaalipiiri";42;85.200;3
"Liinamaa Anne / VIHR / Satakunnan vaalipiiri";1260;3335.000;3
"Hulmi Reetta / VIHR / Satakunnan vaalipiiri";602;1667.500;3
"Haavisto Minna / VIHR / Satakunnan vaalipiiri";445;1111.667;3
"Pallari Maarit / VIHR / Satakunnan vaalipiiri";316;833.750;3
"Solala Sini / VIHR / Satakunnan vaalipiiri";289;667.000;3
"Sjöholm Juha / VIHR / Satakunnan vaalipiiri";194;555.833;3
"Kudjoi Tiina / VIHR / Satakunnan vaalipiiri";141;476.429;3
"Vallinsalo Petri / VIHR / Satakunnan vaalipiiri";88;416.875;3
"Lundgren Pekka / SKP / Satakunnan vaalipiiri";44;127.000;3
"Vuorenpää Matti / SKP / Satakunnan vaalipiiri";44;63.500;3
"Kumlander Kristina / SKP / Satakunnan vaalipiiri";39;42.333;3
"Rainesto Hannu / STP / Satakunnan vaalipiiri";39;39.000;3
"Krannila Olli / KTP / Satakunnan vaalipiiri";33;77.000;3
"Kaarrela Pasi / KTP / Satakunnan vaalipiiri";17;38.500;3
"Isoviita Pekka / KTP / Satakunnan vaalipiiri";14;25.667;3
"Häkkilä Osmo / KTP / Satakunnan vaalipiiri";13;19.250;3
"Toroska Kimmo / Muutos2011 / Satakunnan vaalipiiri";90;393.000;3
"Halme Niina / Muutos2011 / Satakunnan vaalipiiri";87;196.500;3
"Tommila Markku / Muutos2011 / Satakunnan vaalipiiri";64;131.000;3
"Hakala Olli-Pekka / Muutos2011 / Satakunnan vaalipiiri";46;98.250;3
"Takkunen Jouko / Muutos2011 / Satakunnan vaalipiiri";39;78.600;3
"Tammisto Seppo / Muutos2011 / Satakunnan vaalipiiri";26;65.500;3
"Haapaniemi Juha / Muutos2011 / Satakunnan vaalipiiri";23;56.143;3
"Levonen Rami / Muutos2011 / Satakunnan vaalipiiri";18;49.125;3
"Wiksten Lena / IP / Satakunnan vaalipiiri";99;436.000;3
"Virtanen Kalle / IP / Satakunnan vaalipiiri";68;218.000;3
"Evilampi Petteri / IP / Satakunnan vaalipiiri";59;145.333;3
"Mikkonen Timo / IP / Satakunnan vaalipiiri";59;109.000;3
"Tuomola Mikko / IP / Satakunnan vaalipiiri";34;87.200;3
"Herrala Marjatta / IP / Satakunnan vaalipiiri";27;72.667;3
"Ketola Erkki / IP / Satakunnan vaalipiiri";27;62.286;3
"Koppinen Konsta / IP / Satakunnan vaalipiiri";26;54.500;3
"Rintala Jukka / IP / Satakunnan vaalipiiri";18;48.444;3
"Kokkonen Jarkko / IP / Satakunnan vaalipiiri";14;43.600;3
"Tukiainen Tuulikki / IP / Satakunnan vaalipiiri";5;39.636;3
"Palmroos Juho / Piraattip. / Satakunnan vaalipiiri";216;388.000;3
"Salomäki Toni / Piraattip. / Satakunnan vaalipiiri";172;194.000;3
"Filatov Tarja / SDP / Hämeen vaalipiiri";8318;44737.000;1
"Kari Mika / SDP / Hämeen vaalipiiri";6867;22368.500;1
"Skinnari Ville / SDP / Hämeen vaalipiiri";5711;14912.333;1
"Lepola Kaisa / SDP / Hämeen vaalipiiri";4558;11184.250;2
"Kiemunki Iisakki / SDP / Hämeen vaalipiiri";3960;8947.400;3
"Hildén Sirkku / SDP / Hämeen vaalipiiri";2834;7456.167;3
"Nahkuri Miia / SDP / Hämeen vaalipiiri";2246;6391.000;3
"Vainio Eero / SDP / Hämeen vaalipiiri";2243;5592.125;3
"Lehtimäki Kirsi-Maarit / SDP / Hämeen vaalipiiri";1921;4970.778;3
"Lintonen Minna / SDP / Hämeen vaalipiiri";1776;4473.700;3
"Ranjith Kumar Prabhakaran / SDP / Hämeen vaalipiiri";1695;4067.000;3
"Karjalainen Pasi / SDP / Hämeen vaalipiiri";1293;3728.083;3
"Alijärvi Pirjo / SDP / Hämeen vaalipiiri";1020;3441.308;3
"Paulamäki Risto / SDP / Hämeen vaalipiiri";295;3195.500;3
"Louhelainen Anne / PS / Hämeen vaalipiiri";6743;39537.000;1
"Lehto Rami / PS / Hämeen vaalipiiri";6705;19768.500;1
"Ronkainen Jari / PS / Hämeen vaalipiiri";4442;13179.000;1
"Ranne Lulu / PS / Hämeen vaalipiiri";4237;9884.250;2
"Soukola Ismo / PS / Hämeen vaalipiiri";3684;7907.400;3
"Ilkkala Kari / PS / Hämeen vaalipiiri";2654;6589.500;3
"Nieminen Mira / PS / Hämeen vaalipiiri";2586;5648.143;3
"Tuomi Maarit / PS / Hämeen vaalipiiri";2093;4942.125;3
"Lintukorpi Matti / PS / Hämeen vaalipiiri";1421;4393.000;3
"Luostarinen Matti / PS / Hämeen vaalipiiri";1356;3953.700;3
"Salminen Antti / PS / Hämeen vaalipiiri";1170;3594.273;3
"Tuominen Eeva-Maria / PS / Hämeen vaalipiiri";936;3294.750;3
"Selenius Heidi / PS / Hämeen vaalipiiri";886;3041.308;3
"Kerijoki Harri / PS / Hämeen vaalipiiri";624;2824.071;3
"Räsänen Päivi / KD / Hämeen vaalipiiri";7545;12412.000;1
"Timonen Kirsi / KD / Hämeen vaalipiiri";1127;6206.000;2
"Falk Sonja / KD / Hämeen vaalipiiri";1032;4137.333;3
"Arvidsson Teija / KD / Hämeen vaalipiiri";496;3103.000;3
"Räihä Timo / KD / Hämeen vaalipiiri";325;2482.400;3
"Koskinen Johannes / KD / Hämeen vaalipiiri";271;2068.667;3
"Portin Ismo / KD / Hämeen vaalipiiri";255;1773.143;3
"Ihalainen Tapani / KD / Hämeen vaalipiiri";255;1551.500;3
"Kylliäinen Kylli / KD / Hämeen vaalipiiri";250;1379.111;3
"Kaartinen Leena / KD / Hämeen vaalipiiri";233;1241.200;3
"Masih Salamat / KD / Hämeen vaalipiiri";210;1128.364;3
"Salo Tuomas / KD / Hämeen vaalipiiri";183;1034.333;3
"Pöhö Mirja / KD / Hämeen vaalipiiri";126;954.769;3
"Turja Teppo / KD / Hämeen vaalipiiri";104;886.571;3
"Grahn-Laasonen Sanni / KOK / Hämeen vaalipiiri";7556;43544.000;1
"Heinonen Timo / KOK / Hämeen vaalipiiri";6274;21772.000;1
"Jokinen Kalle / KOK / Hämeen vaalipiiri";5728;14514.667;1
"Viljanen Ilkka / KOK / Hämeen vaalipiiri";3769;10886.000;2
"Rautio Sari / KOK / Hämeen vaalipiiri";3271;8708.800;3
"McCarron Francis / KOK / Hämeen vaalipiiri";2946;7257.333;3
"Niinistö Sari / KOK / Hämeen vaalipiiri";2668;6220.571;3
"Hämäläinen Kristiina / KOK / Hämeen vaalipiiri";2578;5443.000;3
"Isosuo Juha / KOK / Hämeen vaalipiiri";2293;4838.222;3
"Seppälä Juuso / KOK / Hämeen vaalipiiri";1922;4354.400;3
"Riihilahti Tuomo / KOK / Hämeen vaalipiiri";1496;3958.545;3
"Andersson-Bohren Titta / KOK / Hämeen vaalipiiri";1422;3628.667;3
"Vahter Merja / KOK / Hämeen vaalipiiri";972;3349.538;3
"Romo Pekka / KOK / Hämeen vaalipiiri";649;3110.286;3
"Rehula Juha / KESK / Hämeen vaalipiiri";6429;36020.000;1
"Anttila Sirkka-Liisa / KESK / Hämeen vaalipiiri";5200;18010.000;1
"Talja Martti / KESK / Hämeen vaalipiiri";3941;12006.667;1
"Kaunisto Timo / KESK / Hämeen vaalipiiri";2736;9005.000;2
"Kemppi Hilkka / KESK / Hämeen vaalipiiri";2472;7204.000;3
"Lehtinen Rami / KESK / Hämeen vaalipiiri";2398;6003.333;3
"Lehtosalo-Lönnberg Eevakaisa / KESK / Hämeen vaalipiiri";2367;5145.714;3
"Suhonen Kaarina / KESK / Hämeen vaalipiiri";2314;4502.500;3
"Niemelä Asko / KESK / Hämeen vaalipiiri";1720;4002.222;3
"Ristavaara Heini / KESK / Hämeen vaalipiiri";1516;3602.000;3
"Kalliomaa Antti / KESK / Hämeen vaalipiiri";1432;3274.545;3
"Rahkio Marjatta / KESK / Hämeen vaalipiiri";1376;3001.667;3
"Malmiharju Tapio / KESK / Hämeen vaalipiiri";1115;2770.769;3
"Eerola Tapio / KESK / Hämeen vaalipiiri";1004;2572.857;3
"Pekonen Aino-Kaisa / VAS / Hämeen vaalipiiri";5487;12182.000;1
"Holopainen Antti / VAS / Hämeen vaalipiiri";1725;6091.000;2
"Nieminen Janne / VAS / Hämeen vaalipiiri";1235;4060.667;3
"Lientola Elisa / VAS / Hämeen vaalipiiri";1059;3045.500;3
"Taavela Irma / VAS / Hämeen vaalipiiri";549;2436.400;3
"Munnukka Heidi / VAS / Hämeen vaalipiiri";478;2030.333;3
"Kautio Kimmo / VAS / Hämeen vaalipiiri";421;1740.286;3
"Lumme Vilja / VAS / Hämeen vaalipiiri";307;1522.750;3
"Papinniemi Antti / VAS / Hämeen vaalipiiri";245;1353.556;3
"Hartikainen Antti / VAS / Hämeen vaalipiiri";233;1218.200;3
"Rantanen Seppo / VAS / Hämeen vaalipiiri";217;1107.455;3
"Leisti Heikki / VAS / Hämeen vaalipiiri";77;1015.167;3
"Saarinen Riitta / VAS / Hämeen vaalipiiri";77;937.077;3
"Wikström Sirke / VAS / Hämeen vaalipiiri";72;870.143;3
"Jokinen Sari / VIHR / Hämeen vaalipiiri";1780;10350.000;3
"Ojansuu-Kaunisto Kirsi / VIHR / Hämeen vaalipiiri";1712;5175.000;3
"Yrjö-Koskinen Eero / VIHR / Hämeen vaalipiiri";945;3450.000;3
"Mäntylä Aleksi / VIHR / Hämeen vaalipiiri";849;2587.500;3
"Soinikoski Mirka / VIHR / Hämeen vaalipiiri";825;2070.000;3
"Latva-Hakuni Elli / VIHR / Hämeen vaalipiiri";788;1725.000;3
"Puusaari Riina / VIHR / Hämeen vaalipiiri";722;1478.571;3
"Tiilikkala Kari / VIHR / Hämeen vaalipiiri";600;1293.750;3
"Monto Mari / VIHR / Hämeen vaalipiiri";424;1150.000;3
"Haapala Mikko / VIHR / Hämeen vaalipiiri";408;1035.000;3
"Rautamäki Eeva / VIHR / Hämeen vaalipiiri";393;940.909;3
"Laine Auli / VIHR / Hämeen vaalipiiri";387;862.500;3
"Kilpinen Kari / VIHR / Hämeen vaalipiiri";285;796.154;3
"Heiskanen Teppo / VIHR / Hämeen vaalipiiri";232;739.286;3
"Pitkä Tero / SKP / Hämeen vaalipiiri";197;489.000;3
"Sorvali Ritva / SKP / Hämeen vaalipiiri";179;244.500;3
"Nygrén Paavo / SKP / Hämeen vaalipiiri";51;163.000;3
"Kivirikko Jarkko / SKP / Hämeen vaalipiiri";32;122.250;3
"Pietilä Pauli / SKP / Hämeen vaalipiiri";30;97.800;3
"Laakso Eino / KTP / Hämeen vaalipiiri";62;143.000;3
"Tuomaala Aarne / KTP / Hämeen vaalipiiri";41;71.500;3
"Leppänen Mikko / KTP / Hämeen vaalipiiri";40;47.667;3
"Saarinen Anita / Muutos2011 / Hämeen vaalipiiri";236;632.000;3
"Törmänen Johanna / Muutos2011 / Hämeen vaalipiiri";182;316.000;3
"Koljonen Kimmo / Muutos2011 / Hämeen vaalipiiri";82;210.667;3
"Korhonen Timo / Muutos2011 / Hämeen vaalipiiri";68;158.000;3
"Turunen Tarmo / Muutos2011 / Hämeen vaalipiiri";64;126.400;3
